weapon_name,english_name,weapon_class,owner_character,owner_tier,confidence,source,appearance_count_in_200
千古洑流,Ages of Harvest,signature,今汐,T2,high,public_banner_history,167
不屈命定之冠,Defier's Thorn,signature,卡提希娅,T0.5,medium,public_banner_history_plus_name_matching,43
苍鳞千嶂,Verdant Summit,signature,忌炎,T2,high,public_banner_history,35
灼霜,Frostburn,signature,绯雪,T0,high,public_banner_history,34
星序协响,Stellar Symphony,signature,守岸人,T0.5,high,public_banner_history,33
裁春,Red Spring,signature,椿,T1,high,public_banner_history,33
掣傀之手,Stringmaster,signature,吟霖,T2,medium,public_banner_history_plus_name_matching,28
诸方玄枢,Verity's Handle,signature,相里要,T2,high,public_banner_history,28
死与舞,The Last Dance,signature,珂莱塔,T1,high,public_banner_history,26
昙切,Kumokiri,signature,千咲,T0.5,medium,public_banner_history_plus_name_matching,23
和光回唱,Luminous Hymn,signature,菲比,T1,high,public_banner_history,20
焰光裁定,Blazing Justice,signature,赞妮,T1,high,public_banner_history,19
赫奕流明,Blazing Brilliance,signature,长离,T2,high,public_banner_history,19
万物持存的注释,Moongazer's Sigil,signature,尤诺,T0.5,low,public_banner_history_plus_cooccurrence,18
幽冥的忘忧章,Lethean Elegy,signature,弗洛洛,T0.5,high,public_banner_history,18
永远的启明星,Everbright Polestar,signature,爱弥斯,T0,high,public_banner_history,15
光影双生,Lux & Umbra,signature,嘉贝莉娜,T0.5,high,public_banner_history,13
琼枝冰绡,Rime-Draped Sprouts,signature,折枝,T2,high,public_banner_history,12
溢彩荧辉,Spectrum Blaster,signature,琳奈,T0,medium,public_banner_history_plus_name_matching,10
昭日译注,Solsworn Ciphers,signature,西格莉卡,T0,medium,public_banner_history_plus_name_matching,9
驭冕铸雷之权,Thunderflare Dominion,signature,奥古斯塔,T0.5,high,public_banner_history,9
裁竹,Emerald Sentence,signature,仇远,T1,medium,public_banner_history_plus_name_matching,8
海的呢喃,Whispers of Sirens,signature,坎特蕾拉,T1,high,public_banner_history,7
宙算仪轨,Starfield Calibrator,signature,莫宁,T0.5,medium,public_banner_history_plus_name_matching,5
悲喜剧,Tragicomedy,signature,洛可可,,high,public_banner_history,4
焰痕,Wildfire Mark,signature,露帕,T1,high,public_banner_history,4
不灭航路,Unflickering Valor,signature,布兰特,T1,medium,public_banner_history_plus_name_matching,3
白昼之脊,Daybreaker's Spine,signature,陆·赫斯,T0.5,high,public_banner_history,2
林间的咏叹调,Woodland Aria,signature,坎特蕾拉,T1,high,public_banner_history,1
赝作的矮星,Forged Dwarf Star,signature,达妮娅,T0.5,high,public_banner_history,1
血誓盟约,Emerald of Genesis,standard,,,low,public_permanent_banner_plus_name_matching,158
漪澜浮录,Cosmic Ripples,standard,,,high,public_permanent_banner,65
停驻之烟,Static Mist,standard,,,high,public_permanent_banner,54
浩境粼光,Lustrous Razor,standard,,,medium,public_permanent_banner_plus_name_matching,49
时和岁稔,Unknown 5-Star Weapon,standard,,,low,cooccurrence_only,46
擎渊怒涛,Abyss Surges,standard,,,high,public_permanent_banner,31
相位涟漪,Phasic Homogenizer,standard,,,high,public_permanent_banner,15
镭射切变,Laser Shearer,standard,,,high,public_permanent_banner,9
源能机锋,Radiance Cleaver,standard,,,medium,public_permanent_banner_plus_name_matching,7
脉冲协臂,Pulsation Bracer,standard,,,high,public_permanent_banner,5
玻色星仪,Boson Astrolabe,standard,,,high,public_permanent_banner,4
